model	parname	begin	num	default	type	pim.type	link	formula	share	pair	mix	rows	secondary	bystratum	tostrata	sub.stratum	leave.unused	socc	subset	events			
RDPdGHugFullHet	Gamma	0	-1	1	Square	all	logit	~1					FALSE										
RDPdGHugFullHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDPdGHugFullHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE										
RDPdGHugFullHet	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE										
RDPdLClosed	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdLClosed	Lambda	0	-1	1	Square	all	logit	~1					FALSE										
RDPdLClosed	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE										
RDPdLClosed	c	1	-1	0	Square	all	logit			p			TRUE										
RDPdLClosed	f0	0			Square	all	log	~session					TRUE										
RDPdLHuggins	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdLHuggins	Lambda	0	-1	1	Square	all	logit	~1					FALSE										
RDPdLHuggins	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE										
RDPdLHuggins	c	1	-1	0	Square	all	logit			p			TRUE										
RDPdLHet	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdLHet	Lambda	0	-1	1	Square	all	logit	~1					FALSE										
RDPdLHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDPdLHet	p	0		0	Square	all	logit	~1			TRUE	0	TRUE										
RDPdLHet	f0	0			Square	all	log	~session					TRUE										
RDPdLFullHet	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdLFullHet	Lambda	0	-1	1	Square	all	logit	~1					FALSE										
RDPdLFullHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDPdLFullHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE										
RDPdLFullHet	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE										
RDPdLFullHet	f0	0			Square	all	log	~session			FALSE		TRUE										
RDPdLHugFullHet	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdLHugFullHet	Lambda	0	-1	1	Square	all	logit	~1					FALSE										
RDPdLHugFullHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDPdLHugFullHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE										
RDPdLHugFullHet	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE										
RDPdfClosed	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdfClosed	f	0	-1	1	Square	all	logit	~1					FALSE										
RDPdfClosed	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE										
RDPdfClosed	c	1	-1	0	Square	all	logit			p			TRUE										
RDPdfClosed	f0	0			Square	all	log	~session					TRUE										
RDPdfHuggins	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdfHuggins	f	0	-1	1	Square	all	logit	~1					FALSE										
